car,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130.0,4098.0,14.0,72,US
Ford Gran Torino (sw),13.0,8,302.0,140.0,4294.0,16.0,72,US
Plymouth Satellite Custom (sw),14.0,8,318.0,150.0,4077.0,14.0,72,US
Buick Century 350,13.0,8,350.0,175.0,4100.0,13.0,73,US
AMC Matador,14.0,8,304.0,150.0,3672.0,11.5,73,US
Chevrolet Malibu,13.0,8,350.0,145.0,3988.0,13.0,73,US
Ford Gran Torino,14.0,8,302.0,137.0,4042.0,14.5,73,US
Dodge Coronet Custom,15.0,8,318.0,150.0,3777.0,12.5,73,US
Mercury Marquis Brougham,12.0,8,429.0,198.0,4952.0,11.5,73,US
Chevrolet Caprice Classic,13.0,8,400.0,150.0,4464.0,12.0,73,US
Ford LTD,13.0,8,351.0,158.0,4363.0,13.0,73,US
Plymouth Fury Gran Sedan,14.0,8,318.0,150.0,4237.0,14.5,73,US
Chrysler New Yorker Brougham,13.0,8,440.0,215.0,4735.0,11.0,73,US
Buick Electra 225 Custom,12.0,8,455.0,225.0,4951.0,11.0,73,US
AMC Ambassador Brougham,13.0,8,360.0,175.0,3821.0,11.0,73,US
Chevrolet Impala,11.0,8,400.0,150.0,4997.0,14.0,73,US
Ford Country,12.0,8,400.0,167.0,4906.0,12.5,73,US
Plymouth Custom Suburb,13.0,8,360.0,170.0,4654.0,13.0,73,US
Oldsmobile Vista Cruiser,12.0,8,350.0,180.0,4499.0,12.5,73,US
Chevrolet Monte Carlo S,15.0,8,350.0,145.0,4082.0,13.0,73,US
Pontiac Grand Prix,16.0,8,400.0,230.0,4278.0,9.5,73,US
Oldsmobile Omega,11.0,8,350.0,180.0,3664.0,11.0,73,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100.0,3781.0,17.0,74,US
AMC Matador,16.0,6,258.0,110.0,3632.0,18.0,74,US
Plymouth Satellite Sebring,18.0,6,225.0,105.0,3613.0,16.5,74,US
Ford Gran Torino,16.0,8,302.0,140.0,4141.0,14.0,74,US
Buick Century Luxus (sw),13.0,8,350.0,150.0,4699.0,14.5,74,US
Dodge Coronet Custom (sw),14.0,8,318.0,150.0,4457.0,13.5,74,US
Ford Gran Torino (sw),14.0,8,302.0,140.0,4638.0,16.0,74,US
AMC Matador (sw),14.0,8,304.0,150.0,4257.0,15.5,74,US
Pontiac Catalina,16.0,8,400.0,170.0,4668.0,11.5,75,US
Chevrolet Bel Air,15.0,8,350.0,145.0,4440.0,14.0,75,US
Plymouth Grand Fury,16.0,8,318.0,150.0,4498.0,14.5,75,US
Ford LTD,14.0,8,351.0,148.0,4657.0,13.5,75,US
Buick Century,17.0,6,231.0,110.0,3907.0,21.0,75,US
Chevrolete Chevelle Malibu,16.0,6,250.0,105.0,3897.0,18.5,75,US
AMC Matador,15.0,6,258.0,110.0,3730.0,19.0,75,US
Plymouth Fury,18.0,6,225.0,95.0,3785.0,19.0,75,US
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,140.0,4215.0,13.0,76,US
Dodge Coronet Brougham,16.0,8,318.0,150.0,4190.0,13.0,76,US
AMC Matador,15.5,8,304.0,120.0,3962.0,13.9,76,US
Ford Gran Torino,14.5,8,351.0,152.0,4215.0,12.8,76,US
Dodge Aspen SE,20.0,6,225.0,100.0,3651.0,17.7,76,US
Ford Grenada ghia,18.0,6,250.0,78.0,3574.0,21.0,76,US
Pontiac Ventura SJ,18.5,6,250.0,110.0,3645.0,16.2,76,US
Plymouth Volare Premier v8,13.0,8,318.0,150.0,3940.0,13.2,76,US
Mercedes-Benz 280s,16.5,6,168.0,120.0,3820.0,16.7,76,Europe
Cadillac Seville,16.5,8,350.0,180.0,4380.0,12.1,76,US
Chevrolet C10,13.0,8,350.0,145.0,4055.0,12.0,76,US
Ford F108,13.0,8,302.0,130.0,3870.0,15.0,76,US
Dodge D100,13.0,8,318.0,150.0,3755.0,14.0,76,US
Chevrolet Caprice Classic,17.5,8,305.0,145.0,3880.0,12.5,77,US
Oldsmobile Cutlass Supreme,17.0,8,260.0,110.0,4060.0,19.0,77,US
Dodge Monaco Brougham,15.5,8,318.0,145.0,4140.0,13.7,77,US
Mercury Cougar Brougham,15.0,8,302.0,130.0,4295.0,14.9,77,US
Chevrolet Concours,17.5,6,250.0,110.0,3520.0,16.4,77,US
Plymouth Volare Custom,19.0,6,225.0,100.0,3630.0,17.7,77,US
Ford Grenada,18.5,6,250.0,98.0,3525.0,19.0,77,US
Pontiac Grand Prix LJ,16.0,8,400.0,180.0,4220.0,11.1,77,US
Chevrolet Monte Carlo Landau,15.5,8,350.0,170.0,4165.0,11.4,77,US
Chrysler Cordoba,15.5,8,400.0,190.0,4325.0,12.2,77,US
Ford Thunderbird,16.0,8,351.0,149.0,4335.0,14.5,77,US
Dodge Diplomat,19.4,8,318.0,140.0,3735.0,13.2,78,US
Mercury Monarch ghia,20.2,8,302.0,139.0,3570.0,12.8,78,US
Pontiac Phoenix LJ,19.2,6,231.0,105.0,3535.0,19.2,78,US
Dodge Aspen,18.6,6,225.0,110.0,3620.0,18.7,78,US
Dodge Magnum XE,17.5,8,318.0,140.0,4080.0,13.7,78,US
Chevrolet Caprice Classic,17.0,8,305.0,130.0,3840.0,15.4,79,US
Ford LTD Landau,17.6,8,302.0,129.0,3725.0,13.4,79,US
Mercury Grand Marquis,16.5,8,351.0,138.0,3955.0,13.2,79,US
Dodge St. Regis,18.2,8,318.0,135.0,3830.0,15.2,79,US
Buick Estate Wagon (sw),16.9,8,350.0,155.0,4360.0,14.9,79,US
Ford Country Squire (sw),15.5,8,351.0,142.0,4054.0,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267.0,125.0,3605.0,15.0,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,150.0,3940.0,13.0,79,US
Mercedes Benz 300d,25.4,5,183.0,77.0,3530.0,20.1,79,Europe
Cadillac Eldorado,23.0,8,350.0,125.0,3900.0,17.4,79,US
Oldsmobile Cutlass LS,26.6,8,350.0,105.0,3725.0,19.0,81,US
